,SYMBOL,Sector,NSE CODE
0,GRINDWELL:NS,ABRASIVES,"NSE:GRINDWELL,"
1,CARBORUNIV:NS,ABRASIVES,"NSE:CARBORUNIV,"
2,WENDT:NS,ABRASIVES,"NSE:WENDT,"
3,BBTC:NS,AGRICULTURE,"NSE:BBTC,"
4,BSHSL:NS,AGRICULTURE,"NSE:BSHSL,"
5,KSCL:NS,AGRICULTURE,"NSE:KSCL,"
6,VENKEYS:NS,AGRICULTURE,"NSE:VENKEYS,"
7,OSWALSEEDS:NS,AGRICULTURE,"NSE:OSWALSEEDS,"
8,KOTYARK:NS,AGRICULTURE,"NSE:KOTYARK,"
9,USASEEDS:NS,AGRICULTURE,"NSE:USASEEDS,"
10,MGEL:NS,AGRICULTURE,"NSE:MGEL,"
11,NATHBIOGEN:NS,AGRICULTURE,"NSE:NATHBIOGEN,"
12,HARRMALAYA:NS,AGRICULTURE,"NSE:HARRMALAYA,"
13,APEX:NS,AGRICULTURE,"NSE:APEX,"
14,VOLTAS:NS,Air Conditioners-CONSUMER DURABLES,"NSE:VOLTAS,"
15,BLUESTARCO:NS,Air Conditioners-CONSUMER DURABLES,"NSE:BLUESTARCO,"
16,AMBER:NS,Air Conditioners-CONSUMER DURABLES,"NSE:AMBER,"
17,JCHAC:NS,Air Conditioners-CONSUMER DURABLES,"NSE:JCHAC,"
18,EPACK:NS,Air Conditioners-CONSUMER DURABLES,"NSE:EPACK,"
19,INDIGO:NS,Airlines/AUTOMOBILE & ANCILLARIES,"NSE:INDIGO,"
20,JETAIRWAYS:NS,Airlines/AUTOMOBILE & ANCILLARIES,"NSE:JETAIRWAYS,"
21,GLOBALVECT:NS,Airlines/AUTOMOBILE & ANCILLARIES,"NSE:GLOBALVECT,"
23,UBL:NS,ALCOHOL,"NSE:UBL,"
24,RADICO:NS,ALCOHOL,"NSE:RADICO,"
25,SULA:NS,ALCOHOL,"NSE:SULA,"
26,GLOBUSSPR:NS,ALCOHOL,"NSE:GLOBUSSPR,"
27,TI:NS,ALCOHOL,"NSE:TI,"
28,SDBL:NS,ALCOHOL,"NSE:SDBL,"
29,GMBREW:NS,ALCOHOL,"NSE:GMBREW,"
30,ASALCBR:NS,ALCOHOL,"NSE:ASALCBR,"
31,ABDL:NS,ALCOHOL,"NSE:ABDL,"
32,NATIONALUM:NS,Aluminium & Aluminium Products-Non Ferrous - Metal,"NSE:NATIONALUM,"
33,HARDWYN:NS,Aluminium & Aluminium Products-Non Ferrous - Metal,"NSE:HARDWYN,"
34,MMP:NS,Aluminium & Aluminium Products-Non Ferrous - Metal,"NSE:MMP,"
35,EUROBOND:NS,Aluminium & Aluminium Products-Non Ferrous - Metal,"NSE:EUROBOND,"
36,MAANALU:NS,Aluminium & Aluminium Products-Non Ferrous - Metal,"NSE:MAANALU,"
37,MANAKALUCO:NS,Aluminium & Aluminium Products-Non Ferrous - Metal,"NSE:MANAKALUCO,"
38,CENTEXT:NS,Aluminium & Aluminium Products-Non Ferrous - Metal,"NSE:CENTEXT,"
39,DELTACORP:NS,Amusement Parks/Recreation/Club-Hospitality,"NSE:DELTACORP,"
40,WONDERLA:NS,Amusement Parks/Recreation/Club-Hospitality,"NSE:WONDERLA,"
41,IMAGICAA:NS,Amusement Parks/Recreation/Club-Hospitality,"NSE:IMAGICAA,"
42,NICCOPAR:BO,Amusement Parks/Recreation/Club-Hospitality,"NSE:NICCOPAR,"
43,BOSCHLTD:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESLarge CapLarge Cap,"NSE:BOSCHLTD,"
44,MOTHERSON:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESLarge CapLarge Cap,"NSE:MOTHERSON,"
45,SONACOMS:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:SONACOMS,"
46,UNOMINDA:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:UNOMINDA,"
47,SUNDRMFAST:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:SUNDRMFAST,"
48,ENDURANCE:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:ENDURANCE,"
49,ZFCVINDIA:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:ZFCVINDIA,"
50,JBMA:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:JBMA,"
51,TVSHLTD:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:TVSHLTD,"
52,MINDACORP:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:MINDACORP,"
53,MAHSCOOTER:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:MAHSCOOTER,"
54,JWL:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESMid CapMid Cap,"NSE:JWL,"
55,SUPRAJIT:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:SUPRAJIT,"
56,VARROC:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:VARROC,"
57,JAMNAAUTO:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:JAMNAAUTO,"
58,SANSERA:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:SANSERA,"
59,RAJRATAN:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:RAJRATAN,"
60,AUTOAXLES:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:AUTOAXLES,"
61,SHANTIGEAR:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:SHANTIGEAR,"
62,JTEKTINDIA:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:JTEKTINDIA,"
63,PRICOLLTD:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:PRICOLLTD,"
64,LGBBROSLTD:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:LGBBROSLTD,"
65,GABRIEL:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:GABRIEL,"
66,FIEMIND:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:FIEMIND,"
67,SSWL:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:SSWL,"
68,SHARDAMOTR:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:SHARDAMOTR,"
69,SUBROS:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:SUBROS,"
70,LUMAXTECH:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:LUMAXTECH,"
71,BANCOINDIA:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:BANCOINDIA,"
72,LUMAXIND:NS,Auto Ancillary/Auto Ancillary/Auto Ancillary/AUTOMOBILE & ANCILLARIESSmall CapMid Cap,"NSE:LUMAXIND,"
